,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
244,919,4115,1767,759,2348,473,2013,0.1844471445929526,0.1149453219927096,0.4295415959252971,0.32325383304940375,0.7525553662691652,1.6046511627906976
215,919,3875,1713,958,2162,474,2014,0.2472258064516129,0.12232258064516129,0.5592527729130181,0.4431082331174838,0.7923219241443108,2.021097046413502
186,919,4001,1619,794,2382,436,2015,0.19845038740314921,0.1089727568107973,0.490426189005559,0.3333333333333333,0.6796809403862301,1.8211009174311927
157,919,4000,1498,735,2502,418,2016,0.18375,0.1045,0.49065420560747663,0.29376498800959233,0.5987210231814548,1.7583732057416268
128,919,3991,1624,883,2367,290,2017,0.2212478075670258,0.0726634928589326,0.5437192118226601,0.3730460498521335,0.6861005492184199,3.0448275862068965
99,919,4173,1862,940,2311,267,2018,0.22525760843517853,0.06398274622573688,0.5048335123523093,0.4067503245348334,0.8057118130679359,3.5205992509363297
72,919,4507,2116,1087,2391,221,2019,0.24118038606611936,0.049034834701575325,0.5137051039697542,0.45462149728147216,0.8849853617733167,4.918552036199095
43,919,4526,2112,1005,2414,187,2020,0.22205037560760052,0.04131683605832965,0.4758522727272727,0.4163214581607291,0.8748964374482188,5.374331550802139
14,919,4556,1917,959,2639,172,2021,0.21049165935030728,0.03775241439859526,0.5002608242044861,0.363395225464191,0.7264115195149677,5.575581395348837
332,920,5174,2007,1118,3167,925,2010,0.21608040201005024,0.17877850792423658,0.5570503238664674,0.3530154720555731,0.633722766024629,1.2086486486486487
303,920,5313,1898,960,3415,758,2011,0.18068887634105024,0.14266892527762093,0.505795574288725,0.28111273792093705,0.555783308931186,1.266490765171504
274,920,5267,1505,763,3762,859,2012,0.14486424909815834,0.16309094361116386,0.5069767441860465,0.20281765018607123,0.40005316321105794,0.8882421420256111
245,920,5174,1261,620,3913,900,2013,0.1198299188248937,0.17394665635871667,0.4916732751784298,0.15844620495783288,0.3222591362126246,0.6888888888888889
216,920,5445,1209,698,4236,734,2014,0.12819100091827365,0.13480257116620753,0.5773366418527709,0.1647780925401322,0.28541076487252126,0.9509536784741145
187,920,5499,1499,901,4000,519,2015,0.16384797235861065,0.09438079650845609,0.6010673782521682,0.22525,0.37475,1.7360308285163777
158,920,5218,1417,813,3801,499,2016,0.15580682253737063,0.09563050977385971,0.5737473535638673,0.2138910812943962,0.3727966324651408,1.629258517034068
129,920,5349,1568,909,3781,400,2017,0.16993830622546272,0.07478033277248083,0.579719387755102,0.24041258926209996,0.414705104469717,2.2725
100,920,5269,1922,1232,3347,251,2018,0.23382045929018788,0.04763712279369899,0.6409989594172737,0.36809082760681205,0.5742455930684195,4.908366533864542
73,920,5511,2460,1321,3051,155,2019,0.23970241335510797,0.028125567047722736,0.5369918699186992,0.4329727958046542,0.8062930186823992,8.522580645161291
44,920,5827,2178,913,3649,114,2020,0.15668440020593788,0.019564098163720612,0.41919191919191917,0.2502055357632228,0.5968758563990134,8.008771929824562
15,920,5529,1906,732,3623,74,2021,0.13239283776451438,0.013383975402423585,0.38405036726128017,0.20204250621032294,0.5260833563345294,9.891891891891891
334,922,2932,986,611,1946,297,2010,0.20839017735334242,0.10129604365620737,0.6196754563894523,0.31397738951695786,0.5066803699897225,2.057239057239057
