tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent
916.0,2015,3382,1732,1650,31.2,534,1576,0,795,0,399,443,336400.0,1939.0,1283.0
917.0,2015,3304,1594,1710,31.7,367,1957,5,201,0,734,801,382700.0,2461.0,1337.0
918.0,2015,3811,1826,1985,34.0,422,2219,0,3,0,1002,549,333000.0,2114.0,1111.0
919.0,2015,4016,1924,2092,36.2,352,2953,9,43,0,614,933,312400.0,1961.0,1194.0
920.0,2015,5567,2699,2868,31.7,665,3489,16,475,0,763,1635,324500.0,2043.0,1291.0
921.01,2015,7099,3608,3491,36.3,2042,1717,0,2601,0,434,520,304400.0,1661.0,1258.0
922.0,2015,3264,1449,1815,41.0,889,1532,0,573,0,185,219,388700.0,2833.0,1340.0
923.0,2015,3452,1680,1772,34.2,348,2881,55,14,0,67,386,301500.0,2413.0,1157.0
924.0,2015,5732,2731,3001,32.1,490,4887,157,0,0,150,1583,316500.0,2097.0,965.0
1001.0,2015,6146,2680,3466,32.9,1039,4607,7,110,0,211,1639,274700.0,1978.0,686.0
1002.0,2015,3005,1388,1617,30.0,146,2469,0,57,0,173,376,254800.0,1746.0,1292.0
1003.0,2015,3642,1621,2021,34.8,332,3121,0,108,0,32,373,274700.0,2256.0,1260.0
1004.0,2015,5209,2334,2875,37.7,537,3585,155,376,0,350,584,325200.0,2389.0,1286.0
1005.0,2015,7227,3601,3626,33.6,1378,4621,17,782,0,88,1176,299800.0,2429.0,1329.0
1006.01,2015,5185,2382,2803,37.4,1911,1729,20,993,0,273,523,266400.0,2073.0,1188.0
1006.03,2015,2038,942,1096,37.4,1499,324,4,180,0,1,61,345500.0,1929.0,1186.0
1007.0,2015,4370,2163,2207,34.5,4050,180,0,83,0,9,106,352600.0,2249.0,1194.0
1008.0,2015,6716,3280,3436,35.1,3157,2266,0,996,0,0,12,353600.0,2109.0,1479.0
